Zip Code_1,school,City_1,State_1,Locale_1,Average Faculty Salary_1,Average SAT Score_1,Admission Rate_1,4-Year Completion Rate_1,Average Net Price (Public)_1,Average Net Price (Private)_1,Cost of Attendance (Academic Year)_1,Median Debt of Completers_1,Median Earnings (8 Years After Entry)_1,Mean Earnings (8 Years After Entry)_1,rank_2,state_2,grade_2,medianBaseSalary_2,studentPopulation_2,campusSetting_2,schoolSize_2,description_2,uri_2,institutionType_2,carnegieClassification_2,studentFacultyRatio_2,totalGrantAid_2,percentOfStudentsFinAid_2,percentOfStudentsGrant_2,Prestige_3,Satisfaction_3,Resources & Facilities_3,Safety_3,Teacher Support_3,School Administration_3,Campus Setting_3,Average Score_3
36104,alabama state university,montgomery,AL,12.0,8015.0,977.0,0.9564,0.24620303757,13889.0,,22028.0,31000.0,32520.0,27500.0,,,,,,,,,,,,,,,,,,,,,,,
36104,alabama state university,montgomery,AL,12.0,8015.0,977.0,0.9564,0.24620303757,13889.0,,22028.0,31000.0,32520.0,27500.0,,,,,,,,,,,,,,,,,,,,,,,
27253,alamance community college,graham,NC,22.0,6347.0,,,0.210805084746,16465.0,,22570.0,,32465.0,25900.0,,,,,,,,,,,,,,,,,,,,,,,
78250,alamo city barber college,san antonio,TX,11.0,,,,0.48275862069,,15890.0,,6937.0,,,,,,,,,,,,,,,,,,,,,,,,,
99645,alaska bible college,palmer,AK,23.0,,,,,,14093.0,22101.0,,,,,,,,,,,,,,,,,,,,,,,,,,
99645,alaska bible college,palmer,AK,23.0,,,,,,14093.0,22101.0,,,,,,,,,,,,,,,,,,,,,,,,,,
99507,alaska career college,anchorage,AK,11.0,5205.0,,,0.713836477987,,18091.0,,7377.0,33844.0,29500.0,,,,,,,,,,,,,,,,,,,,,,,
99507,alaska career college,anchorage,AK,11.0,5205.0,,,0.713836477987,,18091.0,,7377.0,33844.0,29500.0,,,,,,,,,,,,,,,,,,,,,,,
99669,alaska christian college,soldotna,AK,41.0,8009.0,,0.8936,,,5427.0,22858.0,,19021.0,,,,,,,,,,,,,,,,,,,,,,,,
99508,alaska pacific university,anchorage,AK,11.0,7297.0,,0.8621,0.433734939759,,18976.0,34964.0,23500.0,45907.0,41000.0,,,,,,,,,,,,,,,,66.7,57.1,59.5,57.1,52.4,59.5,54.8,58.16
99508,alaska pacific university,anchorage,AK,11.0,7297.0,,0.8621,0.433734939759,,18976.0,34964.0,23500.0,45907.0,41000.0,,,,,,,,,,,,,,,,66.7,57.1,59.5,57.1,52.4,59.5,54.8,58.16
99664,alaska vocational technical center,seward,AK,43.0,,,,,12071.0,,,,44687.0,41400.0,,,,,,,,,,,,,,,,,,,,,,,
99664,alaska vocational technical center,seward,AK,43.0,,,,,12071.0,,,,44687.0,41400.0,,,,,,,,,,,,,,,,,,,,,,,
31707,albany beauty academy,albany,GA,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12205,albany boces adult practical nursing program,albany,NY,21.0,,,,,19798.0,,,9500.0,53838.0,37500.0,,,,,,,,,,,,,,,,,,,,,,,
12208,albany college of pharmacy and health sciences,albany,NY,12.0,10022.0,1280.0,0.5908,0.607287449393,,26027.0,52317.0,25500.0,125222.0,112200.0,,,,,,,,,,,,,,,,,,,,,,,
12208,albany law school,albany,NY,12.0,11348.0,,,,,,,,,81200.0,,,,,,,,,,,,,,,,,,,,,,,
12208,albany medical college,albany,NY,12.0,,,,,,,,,,201000.0,,,,,,,,,,,,,,,,,,,,,,,
31705,albany state university,albany,GA,13.0,7703.0,,,0.200436681223,14251.0,,20574.0,25024.0,37817.0,32500.0,,,,,,,,,,,,,,,,42.3,51.9,62.8,55.1,39.7,42.3,47.4,48.79
31701,albany technical college,albany,GA,13.0,5433.0,,,0.324200913242,4293.0,,13811.0,12412.0,30639.0,24900.0,,,,,,,,,,,,,,,,,,,,,,,
10461,albert einstein college of medicine,bronx,NY,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6511,albertus magnus college,new haven,CT,12.0,8289.0,,0.6437,0.497487437186,,32681.0,56268.0,30964.0,52133.0,51400.0,,,,,,,,,,,,,,,,,,,,,,,
49224,albion college,albion,MI,32.0,7378.0,,0.8316,0.604774535809,,16882.0,68794.0,27000.0,55035.0,47000.0,,,,,,,,,,,,,,,,,,,,,,,
33172,albizu university miami,miami,FL,13.0,8982.0,,1.0,0.334677419355,,36302.0,48144.0,5500.0,40741.0,33600.0,,,,,,,,,,,,,,,,,,,,,,,
19612,albright college,reading,PA,13.0,6670.0,,0.8615,0.499148211244,,21664.0,44381.0,27000.0,54656.0,47000.0,,,,,,,,,,,,,,,,,,,,,,,
39096,alcorn state university,alcorn state,MS,43.0,7090.0,1039.0,0.2466,0.321864594895,14040.0,,23937.0,27000.0,32667.0,31900.0,,,,,,,,,,,,,,,,,,,,,,,
94062,alder graduate school of education,redwood city,CA,13.0,10631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,alexander academy,lunenburg,MA,22.0,,,,0.612244897959,,26172.0,,9500.0,,,,,,,,,,,,,,,,,,,,,,,,,
27858,alexander paul institute of hair design,greenville,NC,13.0,,,,,,14976.0,,8750.0,,,,,,,,,,,,,,,,,,,,,,,,,
56308,alexandria technical&community college,alexandria,MN,33.0,8581.0,,,0.58,14150.0,,18962.0,12000.0,47509.0,39800.0,,,,,,,,,,,,,,,,,,,,,,,
14802,alfred university,alfred,NY,42.0,7126.0,1205.0,0.4833,0.588110403397,,22701.0,54516.0,26000.0,51231.0,42400.0,,,,,,,,,,,,,,,,,,,,,,,
91803,alhambra medical university,alhambra,CA,21.0,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41844,alice lloyd college,pippa passes,KY,43.0,5344.0,980.0,0.8557,0.337078651685,,17839.0,30294.0,19599.0,40372.0,37600.0,,,,,,,,,,,,,,,,,,,,,,,
19977,all in  wrist barber academy,smyrna,DE,22.0,,,,,,5154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21224,all state career baltimore,baltimore,MD,11.0,,,,0.662412993039,,19553.0,,9500.0,34055.0,32500.0,,,,,,,,,,,,,,,,,,,,,,,
19029,all state career school,essington,PA,21.0,5174.0,,,0.692946058091,,19820.0,,6333.0,37053.0,34300.0,,,,,,,,,,,,,,,,,,,,,,,
15122,all state career school pittsburgh,west mifflin,PA,21.0,,,,0.662412993039,,13066.0,,9500.0,34055.0,32500.0,,,,,,,,,,,,,,,,,,,,,,,
93454,allan hancock college,santa maria,CA,12.0,9403.0,,,0.041214750542,4638.0,,11544.0,,37963.0,32100.0,,,,,,,,,,,,,,,,,,,,,,,
93454,allan hancock college,santa maria,CA,12.0,9403.0,,,0.041214750542,4638.0,,11544.0,,37963.0,32100.0,,,,,,,,,,,,,,,,,,,,,,,
21502,allegany college of maryland,cumberland,MD,33.0,6204.0,,,0.274368231047,10107.0,,16082.0,13702.0,35489.0,31400.0,,,,,,,,,,,,,,,,,,,,,,,
16335,allegheny college,meadville,PA,32.0,8452.0,1292.0,0.5853,0.731770833333,,21900.0,70614.0,27000.0,56341.0,46600.0,454,PA,C+,119000.0,1682,Rural,small,"Allegheny College in Meadville, PA, is a private liberal arts college that encourages a well-rounded education for students. The college offers over 30 undergraduate majors, as well as pre-professional programs in health and law. Students can take dual degree courses with other colleges, like Case Western Reserve University and Chatham University. Popular programs include economics, environmental science and biology. Outside of the classroom, students take part in some of the more than 100 clubs, complete over 25,000 hours of community service annually and take part in undergraduate research. The Trustee Scholarship is the most prestigious award at the college, gifting up to $38,000 annually. The Top 10% Admission Program grants automatic admission to students from western Pennsylvania who graduate in the 10% of their class. Within eight months of graduation, over 90% of graduates are employed or continuing their education. Top industries include finance, healthcare, advanced manufacturing, government, non-profit work and education.",allegheny-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,17380328.0,100.0,100.0,54.2,53.1,66.7,75.0,61.9,50.0,72.9,61.97
44460,allegheny wesleyan college,salem,OH,41.0,2559.0,,,,,6740.0,13885.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50703,allen college,waterloo,IA,13.0,7886.0,,,0.704225352113,,,,18750.0,66161.0,55600.0,,,,,,,,,,,,,,,,,,,,,,,
66749,allen county community college,iola,KS,33.0,6470.0,,,0.142276422764,5899.0,,13072.0,6954.0,38472.0,33100.0,,,,,,,,,,,,,,,,,,,,,,,
11201,allen school brooklyn,brooklyn,NY,11.0,,,,0.720657276995,,25874.0,,9500.0,30691.0,27000.0,,,,,,,,,,,,,,,,,,,,,,,
11432,allen school jamaica,jamaica,NY,11.0,,,,0.720657276995,,30588.0,,9500.0,30691.0,27000.0,,,,,,,,,,,,,,,,,,,,,,,
85053,allen school phoenix,phoenix,AZ,11.0,,,,0.720657276995,,21433.0,,9500.0,30691.0,27000.0,,,,,,,,,,,,,,,,,,,,,,,
29204,allen university,columbia,SC,12.0,5295.0,,0.3212,0.224576271186,,11081.0,24804.0,34290.0,26980.0,23300.0,,,,,,,,,,,,,,,,,,,,,,,
75034,allgood beauty institute,frisco,TX,21.0,,,,,,25195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11354,alliance computing solutions,flushing,NY,11.0,,,,,,12225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018,alliance computing solutions   nyc,new york,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85012,alliant international university   phoenix,phoenix,AZ,,,,,0.483333333333,,,,12878.0,51275.0,65500.0,,,,,,,,,,,,,,,,,,,,,,,
